MountedCourseId,EnrollmentOption,Level,Semester,AcademicYear,ProgramId,AssignedBy,Date,CourseName,CourseCode,AssignedTo,Specialization,Category,Scoring,Credit,State,Deleted
4cca3956-e81b-4b51-ac84-c8ebd4bde36e,REGULAR,300,SEMESTER 2,2018/2019,104,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,INFORMATION SECURITY,INFT 308,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
6b2c9e9b-ab5f-4c29-b38b-30a3813ea486,REGULAR,300,SEMESTER 2,2018/2019,104,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,GIS APPLICATIONS FOR NATURAL RESOURCES MGT,INFT 206,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
47f40df6-5ff9-4c5f-b4b9-6a70cb9c1537,REGULAR,300,SEMESTER 2,2018/2019,104,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,ELECTRONIC BUSINESS,INFT 306,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
614efef8-6244-4a7b-a14a-d9eace4d60ef,REGULAR,300,SEMESTER 2,2018/2019,104,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,INFORMATION TECHNOLOGY PROJECT MANAGEMENT,INFT 314,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,ELECTIVE,TRUE,3,0,FALSE
669a97a5-1147-42dd-992e-c8f3665ecf24,REGULAR,300,SEMESTER 2,2018/2019,104,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,HUMAN COMPUTER INTERACTION,COMP 304,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
ac651b8c-28c6-47a7-b659-448c5dd3d065,REGULAR,300,SEMESTER 2,2018/2019,104,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,ADVANCED WEB ENGINEERING AND APPLICATIONS WITH PHP,INFT 304,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
5201a38a-0498-4c39-a8a7-3951ba95d636,REGULAR,300,SEMESTER 2,2018/2019,104,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,INFORMATION STORAGE AND MANAGEMENT,INFT 312,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,ELECTIVE,TRUE,3,0,FALSE
c4b3cb58-5778-4f0f-8db8-cb4daac59ddd,REGULAR,300,SEMESTER 1,2020/2021,90,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,INTRODUCTION TO FRENCH LINGUISTICS I,ULLF 357,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
8278cca7-1dd8-4c0d-b850-fe0398548762,REGULAR,300,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,PROBABILITY AND STATISTICS FOR ENGINEERS,STAT 309,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
4df9db68-d4df-405d-961c-debdb83e23f0,REGULAR,300,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,NUMERICAL METHEDS FOR ENGINEERS,MATH 305,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
6ffa37c4-5b57-43de-b0e5-7d57ec8c2726,REGULAR,300,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,AGRICULTURAL MATERIALS HANDLING,AENG 301,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
e3aa7632-928a-4081-8c0a-92280c516d92,REGULAR,300,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,THERMODYNAMICS II,MECH 375,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
c01165ce-0037-4cfe-9e35-9f76153a6853,REGULAR,300,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,FARM STRUCTURES,AENG 305,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
5d31b4ea-7b58-48e1-acb3-e22083f57ba4,REGULAR,300,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,SOIL AND CROP MECHANICS AND APPLICATION TO MECAHNIZATION,AENG 303,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
482bcbee-8912-4db6-a9c0-c09d8d6250de,REGULAR,300,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,ORAL FRENCH FOR GENERAL COMMUNICATION,UENR 301,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
34708a5a-b436-4f0d-b11d-4649e30cddae,REGULAR,300,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,MACHINE ELEMENTS DESIGN I,MECH 361,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
cc93ac35-9b6d-454e-860a-16321e58813d,REGULAR,200,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,LINEAR ALGEBRA FOR ENGINEERS,MATH 209,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
c58a5f23-ffb5-4bcb-997b-5b0a7350b5b9,REGULAR,200,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,STRENGTH OF MATERIALS I,MECH 281,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
807501c9-8c2e-4adb-a0a0-a4afbd65ba62,REGULAR,200,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,DYNAMICS,MECH 283,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
78407ce9-3f0b-46c0-9e5f-f0aaaeda4005,REGULAR,200,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,ANALYTICAL READING AND REASONING,UENR 201,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
f0dbe51a-5986-49d2-91d8-8a401b9d2074,REGULAR,200,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,AGRICULTURAL METEOROLOGY AND CLIMATOLOGY,AENG 261,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
47d1c575-2921-49ee-9cde-3a47d07d68d6,REGULAR,200,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,FRENCH FOR GENERAL COMMUNICATION I,UENR 203,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
3b2e7d82-5516-4286-a5ae-e95097f4d5d6,REGULAR,200,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,INTRO. TO ENGINEERING COMPUTATIONS,MECH 251,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
b9e0d72b-ab2c-4e0d-a295-7ca557d97caa,REGULAR,200,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,INTRODUCTION TO FLUID MECHANICS,MECH 271,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
1286b961-e700-4661-8302-f5392a29e113,REGULAR,200,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,MECHANICAL ENGINEERING LABORATORY I,MECH 253,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
