CreditLimitId,ProgramId,MaxCredit,MinCredit,Level,State,Deleted
e1857575-bedf-4d7c-a92d-ae7f7f3bb25e,80,23,15,300,0,False
23f4dc91-d4fc-4a91-906f-d6d8fcca1b44,80,23,15,400,0,False
1d7fcc42-4ea7-4b86-8f4a-9d4c0f055581,81,23,15,100,0,False
f72a0f3e-d301-4609-b483-a992f0760905,81,23,15,200,0,False
be93fce5-16af-4c4e-a188-54e75f2cf585,81,23,15,300,0,False
149904a2-1173-4c16-a107-f4e672d1d940,81,23,15,400,0,False
1ddb05fe-a7f7-4372-a99e-880eb4980acd,82,23,15,100,0,False
a883b65b-6623-4583-8c11-b33dc312d07b,82,23,15,200,0,False
b1505eb8-403c-4772-94b1-cdf128bcb5a2,82,23,15,300,0,False
e4299c0e-8470-41a9-8496-213d3c76c407,82,23,15,400,0,False
94834db2-5f19-4983-98a5-eb9b19f58148,83,23,15,100,0,False
759b0b30-d9db-4658-9d20-cca4cf6384fc,83,23,15,200,0,False
a724a2e3-4e33-4c22-9d39-cef68adfd9bc,83,23,15,300,0,False
dd97b1b3-54eb-4167-95de-3a73bdfae239,83,23,15,400,0,False
29ba11ae-fcd6-49ec-8d67-78be5d922689,84,23,15,100,0,False
c1f91910-c867-4e93-88f1-722b9d06627e,84,23,15,200,0,False
b0e6b785-6a9f-4045-97c3-515a09d32d8f,84,23,15,300,0,False
ba68db41-4c9a-4bd8-b89a-a3f72ff5d37b,84,23,15,400,0,False
d1dafaa8-e580-4f2f-bcd9-dc5c7932e3f0,85,23,15,100,0,False
7cbd4c17-32c5-41bf-a17a-bac22b45d079,85,23,15,200,0,False
6a078b1b-df2f-4cf5-8d0a-43c4a03219ab,85,23,15,300,0,False
3251ec1f-7c6d-4500-80e6-1af69de86950,85,23,15,400,0,False
dc7cd3dd-24af-463a-ae38-5180ae0bc5b8,86,23,15,100,0,False
ff53c78c-b678-4bea-b748-f91efde025cf,86,23,15,200,0,False
dff506ba-f8f0-4cc0-87f6-4f31e685d183,86,23,15,300,0,False
52c46145-18a4-41e0-8728-2d8d4c1dc854,86,23,15,400,0,False
4fa99eae-079d-4305-9fc0-8fff999ece14,87,23,15,100,0,False
6b30c52b-3687-49a1-af03-25a671fc5f40,87,23,15,200,0,False
e1971309-112c-4196-8748-82bc48afb3e1,87,23,15,300,0,False
cff7555c-c5b9-44c5-8095-069fd1306f33,87,23,15,400,0,False
56c24cda-bc70-4ec4-93fd-83908a138014,88,23,15,100,0,False
d6e1138b-42b2-4306-96a3-6c1264ea88ad,88,23,15,200,0,False
7b880928-eea0-4154-95a5-7107a9028a76,88,23,15,300,0,False
a37ebcf8-1b06-4158-81d0-c12eb04e3f26,88,23,15,400,0,False
2ee1977c-6ddf-4631-88f9-eddeee0c2386,89,23,15,100,0,False
abd04f0e-e92f-4e1e-93c9-e6bb2ac3a476,89,23,15,200,0,False
c561a446-a4ce-46cb-9442-77a6b3d57ebb,89,23,15,300,0,False
a4d0cfc7-e1de-43c4-a2ca-aba9088f26e0,89,23,15,400,0,False
580b4164-e6b1-47d5-9430-3242e13e8065,90,23,15,100,0,False
bdf8bba5-831d-4f11-b213-31a712442654,90,23,15,200,0,False
1cd0e7ae-dad1-48f6-a97a-7a1ae51200cf,90,23,15,300,0,False
80214b16-9613-4d39-a8af-595cefd67493,90,23,15,400,0,False
6ecb5df4-0e5b-4d8a-b2e3-fd4c68c0e8c6,91,23,15,100,0,False
9a87f981-0ec3-4383-a6ed-c3d793317b71,91,23,15,200,0,False
483ee29b-48c6-41e7-9f90-8e8fa03846a3,91,23,15,300,0,False
f4eb9f22-610c-4900-be68-fbc6ae8d7314,91,23,15,400,0,False
23a9a902-3d71-4c3a-90c0-93086ee73600,92,23,15,100,0,False
59a18c8c-daae-4eeb-add7-ecee5b858994,92,23,15,200,0,False
ff7bd9f7-780a-43ab-8539-d58316cefc8f,92,23,15,300,0,False
bdecfb13-1b6f-4d7b-8d6d-cd3b2fe9791b,92,23,15,400,0,False
9c0c074f-9bec-4bb2-aed0-501f43bc488d,93,23,15,100,0,False
