CourseId,Code,CourseName,Credit,DepartmentId,State
8103571c-e0f7-49d7-92cc-c646a821fff2,UMLS 207,BIOCHEMISTRY I (PRACTICAL),1,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
7b0e3f87-78a5-4bc4-8e13-cd55ff107033,UMLS 209,HAEMATOLOGY I,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
19928042-b71c-4bc4-aeb5-2080b5a02f52,UMLS 211,HAEMATOLOGY I (PRACTICAL),1,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
cb0ef8e4-b8a6-427d-9b82-3aa89fe669b8,UMLS 213,GENERAL PATHOLOGY,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
f847e45c-1117-49a5-ad81-0514c4d3cc48,UMLS 215,PHARMACOLOGY I,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
d19f2611-8267-483f-a222-d83dd8328a36,UMLS 217,PHYSIOLOGY II,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
842ec065-b73b-4134-b973-81488de433a8,UMLS 219,CYTOTECHNOLOGY,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
d67b4842-a030-4a4a-8cd5-33459cc983da,UMLS 221,CYTOTECHNOLOGY (PRACTICAL),1,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
c05eedbc-9fdd-4779-8485-ded4274cff3d,UMLS 222,LABORATORY INSTRUMENTATION,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
e2e82d37-90b6-4d7d-9a1f-0bd318c9ece5,UMLS 301,HAEMATOLOGY III,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
977e27ee-717d-4caa-97a3-d6b5ada8bf65,UMLS 302,HAEMATOLOGY IV,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
8fbb2d37-8926-4c72-8584-d725ea79c625,UMLS 303,MICROBIOLOGY III,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
2fe2a926-6018-41ff-956c-0e1dae24f959,UMLS 304,HAEMATOLOGY IV PRACTICAL,1,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
5c3d5706-2b82-4c1b-8fe3-c92602e306e6,MECH 361,MACHINE ELEMENTS DESIGN I,3,74954a54-1585-455d-903e-14952e33540f,0
2dab3384-6c64-446e-9114-c89896a1d5d6,MECH 383,DYNAMICS OF MACHINERY,2,74954a54-1585-455d-903e-14952e33540f,0
e5394374-b5d4-450c-a92f-16e6be3a4281,MECH 357,INDUSTRIAL ENGINEERING AND ERGONOMICS,2,74954a54-1585-455d-903e-14952e33540f,0
7c75af98-92ba-4995-87c0-239565aaad04,MECH 353,MECHANICAL ENGINEERING LABORATORY III,2,74954a54-1585-455d-903e-14952e33540f,0
